x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.903,-0.297,-0.823,-3.689,1.101,-3.689,4.292,-0.656,-0.889,-3.855,4.203,-8.357,0
1.892,-0.29,-0.82,-3.691,1.09,-3.691,4.293,-0.638,-0.89,-3.846,4.214,-8.365,0
1.893,-0.289,-0.836,-3.682,1.093,-3.682,4.295,-0.609,-0.878,-3.837,4.215,-8.36,0
1.898,-0.293,-0.837,-3.673,1.089,-3.673,4.297,-0.602,-0.88,-3.836,4.212,-8.352,0
1.893,-0.298,-0.841,-3.671,1.094,-3.671,4.298,-0.634,-0.886,-3.84,4.221,-8.356,0
1.899,-0.283,-0.843,-3.665,1.088,-3.665,4.315,-0.598,-0.888,-3.853,4.225,-8.36,0
1.9,-0.286,-0.84,-3.674,1.087,-3.674,4.301,-0.69,-0.885,-3.84,4.228,-8.373,0
1.895,-0.285,-0.841,-3.675,1.081,-3.675,4.302,-0.731,-0.883,-3.836,4.221,-8.369,0
1.899,-0.286,-0.845,-3.68,1.083,-3.68,4.299,-0.691,-0.888,-3.846,4.233,-8.363,0
1.904,-0.288,-0.847,-3.667,1.08,-3.667,4.304,-0.681,-0.886,-3.848,4.229,-8.363,0
1.902,-0.29,-0.844,-3.669,1.087,-3.669,4.308,-0.701,-0.88,-3.845,4.219,-8.367,0
1.897,-0.286,-0.838,-3.682,1.078,-3.682,4.313,-0.609,-0.877,-3.844,4.221,-8.368,0
1.897,-0.293,-0.838,-3.677,1.089,-3.677,4.302,-0.632,-0.874,-3.839,4.22,-8.372,0
1.889,-0.293,-0.84,-3.677,1.088,-3.677,4.309,-0.704,-0.883,-3.847,4.223,-8.353,0
1.899,-0.288,-0.834,-3.676,1.08,-3.676,4.301,-0.619,-0.882,-3.847,4.212,-8.368,0
1.895,-0.295,-0.832,-3.678,1.091,-3.678,4.304,-0.552,-0.885,-3.847,4.216,-8.357,0
1.895,-0.291,-0.838,-3.677,1.084,-3.677,4.307,-0.538,-0.883,-3.84,4.234,-8.368,0
1.889,-0.304,-0.836,-3.681,1.08,-3.681,4.306,-0.562,-0.879,-3.85,4.233,-8.365,0
1.889,-0.304,-0.828,-3.676,1.088,-3.676,4.306,-0.562,-0.879,-3.85,4.233,-8.365,0
1.904,-0.292,-0.828,-3.676,1.088,-3.676,4.3,-0.669,-0.879,-3.839,4.216,-8.357,
1.896,-0.295,-0.811,-3.687,1.09,-3.687,4.299,-0.653,-0.879,-3.842,4.206,-8.361,
1.899,-0.293,-0.815,-3.688,1.086,-3.688,4.292,-0.761,-0.884,-3.85,4.216,-8.355,0
1.896,-0.283,-0.809,-3.691,1.091,-3.691,4.292,-0.688,-0.886,-3.838,4.205,-8.378,0
1.904,-0.289,-0.813,-3.702,1.099,-3.702,4.287,-0.794,-0.881,-3.838,4.206,-8.369,0
1.899,-0.294,-0.821,-3.685,1.094,-3.685,4.29,-0.741,-0.89,-3.847,4.21,-8.358,0
1.89,-0.294,-0.822,-3.683,1.085,-3.683,4.295,-0.734,-0.878,-3.846,4.2,-8.361,0
1.898,-0.297,-0.835,-3.682,1.092,-3.682,4.296,-0.728,-0.882,-3.856,4.204,-8.357,0
1.899,-0.298,-0.84,-3.683,1.089,-3.683,4.305,-0.751,-0.889,-3.859,4.202,-8.353,0
